timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
16636478979,268,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16636490162,269,-2,0,8.2615722656,0.7895507813,-4.9382812500,0.0000000000,0.0000000000,0.0000000000,130.1973960521,-60.5987880242,-28.1994360113
16636547741,270,-2,0,8.3477050781,0.8182617188,-5.1105468750,-2.3780487805,0.0304878049,-0.7926829268,130.1973960521,-60.5987880242,-28.1994360113
16636562534,271,-2,0,8.3477050781,0.8182617188,-5.1105468750,-2.3780487805,0.0304878049,-0.7926829268,130.1973960521,-60.5987880242,-28.1994360113
16636582723,272,-2,0,8.3070312500,0.7393066406,-5.0937988281,-1.9817073171,1.3719512195,0.3963414634,130.1973960521,-60.5987880242,-28.1994360113
16636622739,273,-2,0,8.4242675781,0.7584472656,-5.1153320313,-0.9756097561,-0.1219512195,0.3048780488,134.9973000540,-61.7987640247,-23.3995320094
16636662734,274,-2,0,8.4601562500,0.7105957031,-5.1464355469,-0.9756097561,0.6097560976,-0.8841463415,134.9973000540,-61.7987640247,-23.3995320094
16636685213,275,-2,0,8.4170898438,0.8708984375,-5.0937988281,0.1829268293,0.7012195122,-1.5548780488,134.9973000540,-61.7987640247,-23.3995320094
16636757854,276,-2,0,8.3668457031,0.9546386719,-5.0483398438,-0.2439024390,0.5487804878,-1.3414634146,134.9973000540,-61.7987640247,-23.3995320094
16636772463,277,-2,0,8.2831054688,0.8732910156,-5.0363769531,-1.1280487805,0.8231707317,-0.1524390244,131.3973720526,-60.5987880242,-26.9994600108
16636786178,278,-2,0,8.3333496094,0.8182617188,-5.0674804688,-1.0060975610,-1.2804878049,0.7621951220,131.3973720526,-60.5987880242,-26.9994600108
16636801239,279,-2,0,8.3979492188,0.7847656250,-5.1201171875,-0.8536585366,-1.2500000000,0.4268292683,131.3973720526,-60.5987880242,-26.9994600108
16636858787,280,-2,0,8.4625488281,0.8397949219,-5.1895019531,-0.2439024390,-1.4024390244,-0.0304878049,131.3973720526,-60.5987880242,-26.9994600108
16636914813,281,-2,0,8.3716308594,0.8948242188,-5.1201171875,-0.2743902439,0.0304878049,0.1524390244,131.3973720526,-65.3986920262,-23.3995320094
16636928524,282,-2,0,8.3333496094,0.8397949219,-5.1272949219,-0.9756097561,0.4878048780,1.1280487805,131.3973720526,-65.3986920262,-23.3995320094
16636938622,283,-2,0,8.3189941406,0.8134765625,-5.1057617188,-1.1890243902,-0.9146341463,1.4329268293,131.3973720526,-65.3986920262,-23.3995320094
16636962369,284,-2,0,8.3309570313,0.7464843750,-5.1392578125,-1.7073170732,-1.9512195122,0.8841463415,131.3973720526,-65.3986920262,-23.3995320094
16636997567,285,-2,0,8.3285644531,0.8110839844,-5.1512207031,-1.2500000000,-1.5243902439,0.0609756098,137.3972520550,-59.3988120238,-24.5995080098
16637037464,286,-2,0,8.3620605469,0.8230468750,-5.1679687500,-1.4329268293,-2.5000000000,0.0000000000,137.3972520550,-59.3988120238,-24.5995080098
16637057548,287,-2,0,8.3524902344,0.8445800781,-5.1966796875,-1.3109756098,-2.2560975610,0.2439024390,137.3972520550,-59.3988120238,-24.5995080098
16637086151,288,-2,0,8.3429199219,0.8326171875,-5.1727539063,-1.5853658537,-1.2195121951,0.3353658537,137.3972520550,-59.3988120238,-24.5995080098
16637135382,289,-2,0,8.3381347656,0.8374023438,-5.2110351563,-1.4634146341,-1.5243902439,0.4573170732,139.1972160557,-62.3987520250,-27.5994480110
16637143236,290,-2,0,8.3094238281,0.8565429688,-5.1918945313,-1.2500000000,-1.7987804878,0.8536585366,139.1972160557,-62.3987520250,-27.5994480110
16637207853,291,-2,0,8.3285644531,0.7847656250,-5.2541015625,-1.2804878049,-0.8536585366,1.1280487805,139.1972160557,-62.3987520250,-27.5994480110
16637215084,292,-2,0,8.3333496094,0.7656250000,-5.2349609375,-0.6402439024,-0.3658536585,1.1585365854,139.1972160557,-62.3987520250,-27.5994480110
