timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
17734198182,0,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17734234390,1,-2,0,10.0631835938,0.5957519531,0.6388183594,-0.7926829268,-1.1280487805,0.8536585366,142.7971440571,-116.3976720466,67.1986560269
17734272328,2,-2,0,10.0009765625,0.5790039063,0.7034179688,-1.4329268293,-1.0975609756,0.6402439024,142.7971440571,-116.3976720466,67.1986560269
17734289640,3,-2,0,10.0009765625,0.5790039063,0.7034179688,-1.4329268293,-1.0975609756,0.6402439024,142.7971440571,-116.3976720466,67.1986560269
17734339458,4,-2,0,9.9914062500,0.5550781250,0.7225585938,-1.3414634146,-1.9512195122,0.8536585366,142.7971440571,-116.3976720466,67.1986560269
17734396956,5,-2,0,10.1182128906,0.5766113281,0.6316406250,-0.9756097561,-2.6524390244,1.2195121951,140.9971800564,-119.3976120478,66.5986680266
17734414701,6,-2,0,10.0392578125,0.5622558594,0.6794921875,-1.2195121951,-2.1646341463,1.2500000000,140.9971800564,-119.3976120478,66.5986680266
17734428862,7,-2,0,10.0368652344,0.5263671875,0.6244628906,-1.4634146341,-2.5609756098,0.9146341463,140.9971800564,-119.3976120478,66.5986680266
17734466097,8,-2,0,10.1229980469,0.5431152344,0.6125000000,-1.0670731707,-2.7439024390,1.4329268293,140.9971800564,-119.3976120478,66.5986680266
17734491240,9,-2,0,10.0751464844,0.5191894531,0.6029296875,-1.6463414634,-2.1341463415,0.9451219512,136.1972760545,-120.5975880482,66.5986680266
17734504600,10,-2,0,10.1158203125,0.4402343750,0.5455078125,-1.5548780488,-1.7987804878,-0.0304878049,136.1972760545,-120.5975880482,66.5986680266
17734554589,11,-2,0,10.1541015625,0.5502929688,0.5790039063,-0.0304878049,-0.7012195122,0.2134146341,136.1972760545,-120.5975880482,66.5986680266
17734568497,12,-2,0,10.0201171875,0.5790039063,0.6483886719,-0.2134146341,0.4878048780,-0.0609756098,136.1972760545,-120.5975880482,66.5986680266
17734613516,13,-2,0,10.0129394531,0.5957519531,0.6818847656,-0.5182926829,0.0304878049,0.1219512195,143.3971320574,-116.9976600468,66.5986680266
17734636083,14,-2,0,10.0129394531,0.5790039063,0.6794921875,-1.0975609756,-0.9451219512,0.1524390244,143.3971320574,-116.9976600468,66.5986680266
17734677251,15,-2,0,10.0679687500,0.5263671875,0.5933593750,-1.8292682927,-1.6768292683,-0.5487804878,143.3971320574,-116.9976600468,66.5986680266
17734691869,16,-2,0,10.0416503906,0.5359375000,0.5766113281,-1.2195121951,-1.4634146341,-0.4573170732,143.3971320574,-116.9976600468,66.5986680266
17734764544,17,-2,0,10.1086425781,0.6507812500,0.6053222656,-0.5182926829,-1.6158536585,-0.4268292683,143.3971320574,-119.3976120478,64.1987160257
17734774747,18,-2,0,10.1134277344,0.6101074219,0.6220703125,-0.6707317073,-1.3109756098,-0.7926829268,143.3971320574,-119.3976120478,64.1987160257
17734787170,19,-2,0,10.0679687500,0.6747070313,0.6148925781,0.0000000000,-1.0365853659,0.1524390244,143.3971320574,-119.3976120478,64.1987160257
17734827201,20,-2,0,10.0392578125,0.7082031250,0.5957519531,-0.0914634146,-1.2195121951,0.6707317073,143.3971320574,-119.3976120478,64.1987160257
17734850654,21,-2,0,10.0272949219,0.6340332031,0.5837890625,-0.5792682927,-1.4634146341,1.0365853659,138.5972280554,-115.7976840463,64.1987160257
17734879352,22,-2,0,10.0847167969,0.5455078125,0.4928710938,0.0914634146,-1.6158536585,1.7378048780,138.5972280554,-115.7976840463,64.1987160257
17734924630,23,-2,0,10.0751464844,0.4976562500,0.5024414063,1.4024390244,-0.7012195122,2.0121951220,138.5972280554,-115.7976840463,64.1987160257
17734973260,24,-2,0,9.9459472656,0.5000488281,0.5718261719,2.4390243902,-0.1524390244,2.0731707317,138.5972280554,-115.7976840463,64.1987160257
17734986064,25,-2,0,10.0105468750,0.6077148438,0.5239746094,2.3780487805,-0.7621951220,1.5548780488,144.5971080578,-116.9976600468,70.1985960281
17735014346,26,-2,0,10.0344726563,0.5861816406,0.4976562500,0.7621951220,-0.5487804878,0.4573170732,144.5971080578,-116.9976600468,70.1985960281
17735046767,27,-2,0,10.1493164063,0.6651367188,0.4617675781,-0.4268292683,0.1829268293,0.1829268293,144.5971080578,-116.9976600468,70.1985960281
17735127141,28,-2,0,9.9531250000,0.6483886719,0.5359375000,-1.8597560976,1.5243902439,0.7012195122,144.5971080578,-116.9976600468,70.1985960281
17735139808,29,-2,0,10.1923828125,0.7345214844,0.4330566406,-2.2560975610,0.7621951220,1.6463414634,140.9971800564,-120.5975880482,65.3986920262
17735160979,30,-2,0,10.0512207031,0.5407226563,0.5263671875,-3.4756097561,1.6768292683,1.6158536585,140.9971800564,-120.5975880482,65.3986920262
17735173186,31,3,0,10.1038574219,0.4330566406,0.5024414063,-2.3170731707,1.2804878049,1.4939024390,140.9971800564,-120.5975880482,65.3986920262
17735222215,32,3,0,10.1086425781,0.4952636719,0.5263671875,-0.1829268293,1.3719512195,1.8292682927,140.9971800564,-120.5975880482,65.3986920262
17735234693,33,3,0,10.0201171875,0.5287597656,0.5957519531,0.0304878049,2.1646341463,1.0670731707,141.5971680566,-116.3976720466,61.1987760245
17735268762,34,3,0,9.9626953125,0.5359375000,0.6579589844,-0.3048780488,1.6768292683,1.0060975610,141.5971680566,-116.3976720466,61.1987760245
17735285978,35,3,0,10.1110351563,0.5861816406,0.5574707031,-0.8231707317,0.0609756098,0.9756097561,141.5971680566,-116.3976720466,61.1987760245
17735329618,36,3,0,10.0368652344,0.5000488281,0.5431152344,-1.8597560976,0.3048780488,0.7317073171,141.5971680566,-116.3976720466,61.1987760245
17735348579,37,3,0,10.0320800781,0.4880859375,0.5837890625,-1.5548780488,-0.2134146341,0.8536585366,144.5971080578,-115.7976840463,61.7987640247
17735378531,38,3,0,10.1517089844,0.5479003906,0.5335449219,-1.4939024390,-1.1585365854,0.5792682927,144.5971080578,-115.7976840463,61.7987640247
17735430968,39,3,0,10.0536132813,0.5167968750,0.5574707031,-2.0426829268,-0.4268292683,0.3658536585,144.5971080578,-115.7976840463,61.7987640247
17735441852,40,3,0,10.0225097656,0.5550781250,0.5526855469,-2.3170731707,-0.3963414634,0.3963414634,144.5971080578,-115.7976840463,61.7987640247
17735509741,41,3,0,10.0751464844,0.5455078125,0.5622558594,-3.0182926829,-0.7012195122,-0.0914634146,143.3971320574,-116.9976600468,71.3985720286
17735522238,42,3,0,10.0823242188,0.5574707031,0.5239746094,-3.6280487805,-0.1219512195,-0.7621951220,143.3971320574,-116.9976600468,71.3985720286
17735535927,43,3,0,10.1038574219,0.5622558594,0.5574707031,-3.7804878049,0.4268292683,-1.2804878049,143.3971320574,-116.9976600468,71.3985720286
17735609718,44,3,0,10.0225097656,0.5431152344,0.5790039063,-3.7195121951,0.6402439024,-1.2804878049,143.3971320574,-116.9976600468,71.3985720286
17735624418,45,3,0,10.0201171875,0.5909667969,0.5790039063,-3.2317073171,0.0914634146,-1.0975609756,139.7972040559,-119.3976120478,64.1987160257
17735629517,46,3,0,10.1469238281,0.6268554688,0.5335449219,-3.1097560976,0.0914634146,-1.5548780488,139.7972040559,-119.3976120478,64.1987160257
17735670128,47,3,0,10.1469238281,0.6268554688,0.5335449219,-3.1097560976,0.0914634146,-1.5548780488,139.7972040559,-119.3976120478,64.1987160257
17735697152,48,3,0,10.0440429688,0.6077148438,0.5909667969,-3.0792682927,1.1585365854,-1.1585365854,139.7972040559,-119.3976120478,64.1987160257
17735722344,49,3,0,9.8765625000,0.6507812500,0.6675292969,-2.8353658537,1.1280487805,-0.8231707317,141.5971680566,-117.5976480470,69.5986080278
17735751059,50,3,0,10.1134277344,0.5790039063,0.5598632813,-2.5000000000,-0.0609756098,-0.4573170732,141.5971680566,-117.5976480470,69.5986080278
