timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
17734198182,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734234390,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734272328,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734289640,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734339458,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734396956,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734414701,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734428862,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734466097,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734491240,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734504600,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734554589,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734568497,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734613516,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734636083,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734677251,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734691869,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734764544,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734774747,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734787170,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734827201,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734850654,21,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734879352,22,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734924630,23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734973260,24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17734986064,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735014346,26,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735046767,27,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735127141,28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735139808,29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735160979,30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735173186,31,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735222215,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735234693,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735268762,34,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735285978,35,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735329618,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735348579,37,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735378531,38,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735430968,39,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735441852,40,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735509741,41,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735522238,42,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735535927,43,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735609718,44,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735624418,45,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735629517,46,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735670128,47,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735697152,48,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735722344,49,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735751059,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735805876,51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735861007,52,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735888578,53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735903455,54,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17735914716,55,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
