timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
16619146120,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619164885,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619207515,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619282815,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619295254,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619310009,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619321304,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619369867,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619379051,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619475141,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619490033,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619507850,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619514867,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619540260,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619571296,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619645211,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619657735,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619675201,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619713973,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619726580,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619769922,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619810193,21,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619814899,22,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619871454,23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619883824,24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619912737,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16619946106,26,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620016038,27,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620082502,28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620099842,29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620114771,30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620139976,31,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620149996,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620183937,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620210546,34,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620226188,35,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620263817,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620286521,37,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620321260,38,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620378521,39,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620397563,40,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620436257,41,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620461455,42,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620466153,43,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620522696,44,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620561600,45,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620577322,46,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620625056,47,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620639087,48,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620663975,49,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620721467,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620826678,51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620837711,52,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620861584,53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620899887,54,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620913990,55,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620927602,56,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16620985185,57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621002577,58,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621022692,59,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621034844,60,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621039995,61,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621134175,62,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621146471,63,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621164062,64,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621186241,65,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621207420,66,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621227655,67,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621299936,68,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621364009,69,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621384993,70,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621402457,71,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621426057,72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621475269,73,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621497490,74,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621512638,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621541276,76,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621552328,77,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621583704,78,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621600073,79,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621649113,80,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621714069,81,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621717684,82,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16621736126,83,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
