timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
16619146120,0,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16619164885,1,-2,0,8.2926757813,0.8661132813,-5.2134277344,-1.1280487805,0.2439024390,0.8536585366,128.3974320514,-63.5987280254,-29.9994000120
16619207515,2,-2,0,8.2926757813,0.8661132813,-5.2134277344,-1.1280487805,0.2439024390,0.8536585366,128.3974320514,-63.5987280254,-29.9994000120
16619282815,3,-2,0,8.3812011719,0.8972167969,-5.1296875000,-0.8536585366,0.0000000000,0.7621951220,128.3974320514,-63.5987280254,-29.9994000120
16619295254,4,-2,0,8.2950683594,0.9354980469,-5.0603027344,-0.4878048780,0.1829268293,0.6707317073,128.3974320514,-63.5987280254,-29.9994000120
16619310009,5,-2,0,8.3381347656,0.9522460938,-5.1392578125,-0.5487804878,-0.7926829268,0.7621951220,129.5974080518,-63.5987280254,-26.3994720106
16619321304,6,-2,0,8.3213867188,0.9618164063,-5.1177246094,-0.9756097561,-1.1585365854,0.7317073171,129.5974080518,-63.5987280254,-26.3994720106
16619369867,7,-2,0,8.3548828125,0.9139648438,-5.1775390625,-1.4024390244,-1.7682926829,0.8841463415,129.5974080518,-63.5987280254,-26.3994720106
16619379051,8,-2,0,8.3644531250,0.9283203125,-5.1727539063,-1.1280487805,-1.5853658537,0.9451219512,129.5974080518,-63.5987280254,-26.3994720106
16619475141,9,-2,0,8.2974609375,0.8756835938,-5.1631835938,-1.2804878049,-1.1585365854,0.7621951220,131.3973720526,-59.3988120238,-20.9995800084
16619490033,10,-2,0,8.3357421875,0.9235351563,-5.1942871094,-0.9756097561,-1.1585365854,0.3048780488,131.3973720526,-59.3988120238,-20.9995800084
16619507850,11,-2,0,8.3453125000,0.9498535156,-5.1799316406,-1.1585365854,-1.0975609756,0.2743902439,131.3973720526,-59.3988120238,-20.9995800084
16619514867,12,-2,0,8.3142089844,0.9546386719,-5.1990722656,-1.5548780488,-0.7926829268,0.3353658537,131.3973720526,-59.3988120238,-20.9995800084
16619540260,13,-2,0,8.2974609375,0.9450683594,-5.1847167969,-1.7682926829,-0.8231707317,0.6402439024,130.7973840523,-61.1987760245,-29.9994000120
16619571296,14,-2,0,8.3070312500,0.9067871094,-5.1751464844,-1.9817073171,-0.7012195122,0.6097560976,130.7973840523,-61.1987760245,-29.9994000120
16619645211,15,-2,0,8.3189941406,0.9474609375,-5.1847167969,-1.5853658537,-0.8841463415,0.5487804878,130.7973840523,-61.1987760245,-29.9994000120
16619657735,16,-2,0,8.2902832031,0.9307128906,-5.1823242188,-1.6158536585,-0.8536585366,0.3658536585,130.7973840523,-61.1987760245,-29.9994000120
16619675201,17,-2,0,8.2520019531,0.9139648438,-5.1775390625,-1.3109756098,-1.2195121951,0.3353658537,130.1973960521,-62.9987400252,-23.3995320094
16619713973,18,-2,0,8.2854980469,0.9546386719,-5.1942871094,-1.0060975610,-1.6463414634,0.2134146341,130.1973960521,-62.9987400252,-23.3995320094
16619726580,19,-2,0,8.2735351563,0.9331054688,-5.2493164063,-1.0365853659,-1.8292682927,0.2134146341,130.1973960521,-62.9987400252,-23.3995320094
16619769922,20,-2,0,8.2543945313,0.9331054688,-5.2229980469,-0.8841463415,-1.9512195122,0.1524390244,130.1973960521,-62.9987400252,-23.3995320094
16619810193,21,-2,0,8.2878906250,0.9474609375,-5.2445312500,-1.0060975610,-2.1036585366,0.1524390244,129.5974080518,-62.3987520250,-26.3994720106
16619814899,22,-2,0,8.2831054688,0.9857421875,-5.2804199219,-1.2195121951,-2.1036585366,0.1219512195,129.5974080518,-62.3987520250,-26.3994720106
16619871454,23,-2,0,8.2472167969,0.9953125000,-5.2541015625,-1.4634146341,-1.8597560976,0.3658536585,129.5974080518,-62.3987520250,-26.3994720106
16619883824,24,-2,0,8.1706542969,0.9857421875,-5.2229980469,-2.1036585366,-1.8597560976,0.2439024390,129.5974080518,-62.3987520250,-26.3994720106
16619912737,25,-2,0,8.2328613281,0.8708984375,-5.3282714844,-2.0731707317,-2.7134146341,0.9451219512,130.7973840523,-55.1988960221,-25.1994960101
16619946106,26,-2,0,8.2950683594,0.9809570313,-5.3187011719,-1.0670731707,-2.5609756098,0.6707317073,130.7973840523,-55.1988960221,-25.1994960101
