timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
17752348167,204,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752411891,205,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752421988,206,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752441762,207,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752462242,208,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752497343,209,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752524406,210,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752564726,211,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752614756,212,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752618433,213,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752674389,214,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752686273,215,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752728201,216,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752786145,217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752801117,218,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752811326,219,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752849602,220,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752885756,221,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752914845,222,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752942241,223,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752962247,224,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17752999496,225,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17753021931,226,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17753064749,227,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17753136373,228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17753151029,229,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17753163580,230,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17753178546,231,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17753224349,232,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17753273245,233,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17753278498,234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
